Timestamp,Berkeley id or email?,Is your UCSD #3 prestige banner there?,Can you log in to the UCI link?,Did you apply for financial aid?,GPA(UC UW)?,GPA(UC W),GPA(UC W capped),Rate your piqs on a scale of 1-10,Rate your ec's on a scale of 1-10,UCB major?,UCSD major?,UCI major?,Best college you've already gotten accepted to(not required),UCB major? (AI Categorized),UCSD major? (AI Categorized),UCI major? (AI Categorized),Expected_Prob
3/8/2026 12:28:06,Id,Yes,Yes,Yes,3.8,4.4,4.2,5,4,Cognitive Science,Human Developmental Sciences,Public Health Sciences,sdsu,Other/Interdisciplinary,Arts & Humanities,Public Health,0.85
3/8/2026 12:28:43,Id,No,Yes,No,3.9,4.1,4.1,7,10,Undecided,Undecided,Public health,CSULB,Other/Interdisciplinary,Other/Interdisciplinary,Public Health,0.85
3/8/2026 12:30:51,Id,Yes,No,No,3.49,3.97,3.7,8,10,Native Studies,Anthropology with Concentration in Sociocultural Anthropology,Anthropology,Davis or Northeastern,Other/Interdisciplinary,Arts & Humanities,Arts & Humanities,0.19309566525502567
3/8/2026 12:31:45,Email,Yes,Yes,No,4.0,4.27,4.27,8,8,Undeclared,Undeclared,Undeclared,SDSU,Undeclared,Undeclared,Undeclared,0.7792490607713912
3/8/2026 12:33:58,Id,Yes,No,Yes,3.93,4.45,4.21,9,10,Electrical Engineering & Computer Science,Electrical and Computer Engineering,Computer Engineering,University of Michigan (EE),Engineering,Engineering,Engineering,0.85
3/8/2026 12:35:11,Id,No,Yes,Yes,3.92,4.23,4.62,7,8,Engineering Mathematics and Statistics,Mathematics - Computer Science,Electrical Engineering,UC Davis,Physical Sciences/Math,Computer Science,Engineering,0.0022901494401396387
3/8/2026 12:36:12,Id,No,Yes,Yes,4.0,4.93,4.3,8,6,Molecular and Cell Biology,Bioengineering,Biomedical Engineering,UC Davis,Life Sciences,Engineering,Engineering,0.85
3/8/2026 12:36:58,Email,Didn't apply,Yes,Yes,3.7,4.0,4.0,9,6,History,,History,University of Washington,Arts & Humanities,,Arts & Humanities,0.7598641016803366
3/8/2026 12:40:57,Id,Yes,No,Yes,3.93,4.36,4.21,8,7,psych,psych,psych,UCSC,Other/Interdisciplinary,Other/Interdisciplinary,Other/Interdisciplinary,0.85
3/8/2026 12:42:14,Id,No,Yes,Yes,4.0,4.88,4.5,8,7,Genetics and Plant Biology,Environmental Chemistry,Biological Sciences,,Life Sciences,Life Sciences,Life Sciences,0.1665647435290285
3/8/2026 12:46:27,Id,Yes,No,Yes,3.63,3.92,3.79,7,7,Engineering Undeclared,Mechanical Engineering,Mechanical Engineering,,Engineering,Engineering,Engineering,0.0002535132123740838
3/8/2026 12:43:52,Id,No,Yes,No,4.0,4.67,4.27,8,8,Bioengineering,Bioengineering: biotechnology,Biomedical engineering,UW or UCD,Engineering,Engineering,Engineering,0.85
3/8/2026 12:44:08,Email,Yes,No,No,4.0,4.56,4.33,5,6,Electrical and Computer Engineering,Electrical Engineering,Electrical Engineering,,Engineering,Engineering,Engineering,0.85
3/8/2026 12:46:41,Id,No,No,Yes,4.0,4.69,4.27,8,8,Environmental Engineering,Mechanical Engineering,Civil Engineering,UIUC/Purdue/Davis Mechanical Engineering,Engineering,Engineering,Engineering,0.85
3/8/2026 12:48:01,Id,No,No,Yes,4.0,4.54,4.31,9,8,Civil Engineering,Structural Engineering,Civil Engineering,UIUC engineering,Engineering,Engineering,Engineering,0.85
3/8/2026 12:50:29,Id,Yes,No,Yes,3.87,4.4,4.09,8,6,EECS,CS,CS,,Engineering,Computer Science,Computer Science,0.5130302877370561
3/8/2026 12:53:07,Id,No,Yes,Yes,4.0,4.69,4.31,9,8,chem e,chem e,chem e,g tech,Engineering,Engineering,Engineering,0.85
3/8/2026 12:54:32,Email,Yes,Yes,Yes,3.95,3.57,3.32,9,7,Undeclared biological science,Neuroscience/ undeclared,Biomedical engineering,UCD,Life Sciences,Life Sciences,Engineering,1.1118702206017468e-16
3/8/2026 12:57:34,Email,Yes,Yes,Yes,4.0,4.34,4.29,8,8,Aerospace Engineering,Aerospace Engineering,Aerospace Engineering,UIUC,Engineering,Engineering,Engineering,0.85
3/8/2026 12:57:48,Email,Yes,Yes,Yes,3.66,3.9,3.85,8,7,Undeclared science,Undeclared science,Social Ecology,SDSU,Physical Sciences/Math,Physical Sciences/Math,Social Sciences,0.2954826555557802
3/8/2026 12:58:43,Id,Yes,Yes,No,3.91,4.5,4.27,7,5,media studies,media industries and comms,film and digital media,ucsc,Arts & Humanities,Arts & Humanities,Arts & Humanities,0.7360572562503461
3/8/2026 13:08:27,Id,Yes,Yes,Yes,4.0,4.32,4.48,7,6,bioengineering,bioengineering,bioengineering,Northeastern,Life Sciences,Life Sciences,Life Sciences,0.22759321087350692
3/8/2026 13:11:06,Id,Yes,No,Yes,3.78,4.59,,7,8,Physics,Mechanical Engineering,Mech E,Umd,Physical Sciences/Math,Engineering,Engineering,0.0
3/8/2026 13:11:14,Email,No,No,Yes,3.9,4.35,4.27,7,4,Chemistry B.A.,Public Health,Chemistry B.S.,San Diego State University,Life Sciences,Public Health,Life Sciences,0.85
3/8/2026 13:12:04,Id,No,Yes,No,4.0,4.0,4.0,5,7,Chemistry,Chemistry,Chemistry,UIUC,Life Sciences,Life Sciences,Life Sciences,0.33614098674306453
3/8/2026 13:15:15,Id,No,No,No,4.0,4.67,4.33,7,6,Engineering Physics,Electrical Engineering,Electrical Engineering,,Physical Sciences/Math,Engineering,Engineering,0.85
3/8/2026 13:17:30,Email,Yes,Yes,Yes,3.72,4.1,3.92,9,6,Studio Art,Studio Art,Studio Art,"UCSC, UCR, UCM (rejected from UCD)",Arts & Humanities,Arts & Humanities,Arts & Humanities,0.609390906688921
3/8/2026 13:24:05,Email,Yes,No,No,4.0,5.0,4.14,8,9,Bioengineering,Bioengineering,Bioengineering,California Institute of Technology,Engineering,Engineering,Engineering,0.85
3/8/2026 13:30:15,Id,Yes,No,Yes,3.57,4.17,3.91,8,7,COGNITIVE SCIENCE,HUMAN BIOLOGY,COGNITIVE SCIENCES,,Other/Interdisciplinary,Life Sciences,Other/Interdisciplinary,0.24654339289768698
3/8/2026 13:35:40,Didn't apply,Yes,No,Yes,3.79,4.0,3.86,5,4,why is this required??,Biology,Biology,I applied to nowhere. I'm cooked 😨😨,Other/Interdisciplinary,Life Sciences,Life Sciences,0.02886488353058131
3/8/2026 13:38:43,Id,Yes,Yes,No,3.83,4.17,4.17,8,9,Econ,Finance,Finance,,Business,Business,Business,0.6546609320305886
3/8/2026 13:44:31,Didn't apply,Didn't apply,No,No,4.0,4.13,4.13,6,7,,,cognitive science,uChicago (EA),,,Other/Interdisciplinary,0.85
3/8/2026 13:53:18,Didn't apply,Yes,No,No,3.37,4.01,3.52,5,2,n / a,cs,cs,yale (early legacy) .,Other/Interdisciplinary,Computer Science,Computer Science,3.002328075330038e-14
3/8/2026 13:54:25,Id,Yes,No,Yes,3.8,4.2,4.4,6,8,media studies,media studies and communication,media studies,,Arts & Humanities,Arts & Humanities,Arts & Humanities,0.47278088357130954
3/8/2026 13:54:54,Id,No,No,Yes,4.0,4.44,4.22,8,6,Data Science,Data Science,Data Science,"UIUC (Cs & Stats) {this is more selective than cs + x, but less selective than pure cs}",Computer Science,Computer Science,Computer Science,0.85
3/8/2026 13:56:29,Id,No,No,No,3.5,3.54,3.54,10,8,Applied Math,Chemistry,Electrical Engineering,,Physical Sciences/Math,Life Sciences,Engineering,7.840051390045021e-10
3/8/2026 13:57:28,Email,No,Yes,Yes,3.83,4.13,3.98,5,6,Political Science,Political Science,Political Science,"UCSC, UCR, UCD",Social Sciences,Social Sciences,Social Sciences,0.6681669469887536
3/8/2026 13:58:44,Id,No,Yes,Yes,4.0,4.4,4.33,8,8,Molecular and Cell Biology,Human Biology,Biological Sciences,UC Berkeley,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 14:01:31,Id,Yes,No,Yes,4.0,4.99,4.18,8,8,Applied Math,Applied Math,Applied Math,MIT,Physical Sciences/Math,Physical Sciences/Math,Physical Sciences/Math,0.85
3/8/2026 14:01:49,Id,No,Yes,Yes,4.0,5.35,4.62,9,7,"Molecular and Cell Biology, B.A.","Cognitive Science: Cognitive & Behavioral Neuroscience (joint major), B.S.","Cognitive Sciences, B.S. School of Social Sciences",UW,Life Sciences,Life Sciences,Social Sciences,0.07218865338064076
3/8/2026 14:02:21,Email,Yes,No,Yes,3.61,4.22,3.93,8,9,neuro,neuro,neuro,"Usfca, ucsc, ucr, ucm (rejected from davis)",Life Sciences,Life Sciences,Life Sciences,0.11387284681032199
3/8/2026 14:05:58,Id,No,Yes,Yes,4.0,4.73,4.27,9,8,"Neuroscience, B.A","Neurobiology, B.S.","Biological Sciences, B.S.",,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 14:06:18,Id,No,Yes,Yes,4.0,4.34,4.18,4,10,Bio,Bio,Bio,Princeton (Restrictive Early Action),Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 14:07:18,Didn't apply,No,Yes,Yes,4.0,4.72,4.3,7,8,Interdisciplinary Studies,Human Developmental Sciences,Social Policy & Public Service,UC Davis,Other/Interdisciplinary,Arts & Humanities,Public Admin,0.0
3/8/2026 14:08:25,Id,No,Yes,Yes,3.7,4.16,3.94,7,9,Poli Sci,Poli Sci,Business,Georgetown,Social Sciences,Social Sciences,Business,0.1509705018482101
3/8/2026 14:08:45,Email,No,No,Yes,3.77,4.25,4.0,8,7,Urban studies,Media industries and communication,Literary journalism,SDSU,Other/Interdisciplinary,Arts & Humanities,Arts & Humanities,0.7598641016803366
3/8/2026 14:10:38,Id,No,Yes,Yes,3.99,4.45,4.3,9,6,Anthropology,Anthropology - Sociocultural Anthropology,Anthropology,,Arts & Humanities,Arts & Humanities,Arts & Humanities,0.681166464231433
3/8/2026 14:11:03,Id,No,Yes,Yes,4.0,4.67,4.27,9,8,"Neuroscience, B.A.","Neurobiology, B.S.","Neuroscience, B.S.",University of Washington,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 14:23:35,Id,No,Yes,No,3.91,4.77,4.27,4,8,Computer Science,Computer Science,Computer Science,UMich,Computer Science,Computer Science,Computer Science,0.85
3/8/2026 14:24:15,Email,Yes,Yes,No,3.86,4.29,4.15,8,6,Physics,Physics,Applied physics,UCSB (reception),Physical Sciences/Math,Physical Sciences/Math,Physical Sciences/Math,0.85
3/8/2026 14:28:38,Id,No,No,No,3.88,4.45,4.0,3,3,Finance,Economics,Business,,Business,Public Admin,Business,0.27383275587173034
3/8/2026 14:43:00,Id,No,No,No,3.7,4.0,4.3,6,8,EEP,Econ,Idk,,Other/Interdisciplinary,Business,Other/Interdisciplinary,0.85
3/8/2026 14:50:58,Id,Didn't apply,No,No,3.8,4.37,3.93,6,5,econ,,math,Yale,Other/Interdisciplinary,,Physical Sciences/Math,0.7969137467153075
3/8/2026 14:59:07,Id,Yes,No,Yes,3.85,4.45,4.15,7,5,english,english,english,,Arts & Humanities,Arts & Humanities,Arts & Humanities,0.85
3/8/2026 15:01:51,Didn't apply,Yes,No,No,1.93,2.04,2.04,8,7,d,compeuter sceince,compeuter sceince,,Other/Interdisciplinary,Computer Science,Computer Science,2.251878645646471e-129
3/8/2026 15:15:51,Id,Yes,No,No,4.0,4.98,4.15,9,10,Political Science,Public Policy,Business,"Harvard, UCBerk Early, UCDavis, UIUC",Social Sciences,Public Admin,Business,0.6290077487578423
3/8/2026 15:16:16,Didn't apply,Didn't apply,No,Yes,3.5,3.7,3.7,7,8,,,Civil Engineering,Santa Clara university,,,Engineering,5.000456434793274e-06
3/8/2026 15:26:37,Email,Yes,Yes,Yes,3.86,4.14,4.14,8,7,Molecular Cell Biology,Neurobiology,Pharmaceutical Sciences,UC Davis,Life Sciences,Life Sciences,Life Sciences,0.85
3/8/2026 15:26:42,Id,Yes,Yes,No,3.97,4.6,4.3,8,8,cs,cs,cs,,Computer Science,Computer Science,Computer Science,0.85
3/8/2026 15:28:55,Email,Yes,Yes,No,4.0,4.33,4.33,8,8,Applied Math,CS,CSE,,Physical Sciences/Math,Computer Science,Computer Science,0.85
3/8/2026 15:33:42,Id,No,No,Yes,3.73,4.27,4.04,7,6,Nutrition and Metabolic Biology,Human Biology,Biology,UC Davis,Life Sciences,Life Sciences,Life Sciences,0.547775010454399
3/8/2026 15:35:46,Email,Yes,No,No,4.0,4.86,4.86,10,8,biology,biology,biology,umich,Life Sciences,Life Sciences,Life Sciences,1.0545442046329872e-05
3/8/2026 15:40:04,Id,No,Yes,Yes,4.0,4.99,4.03,9,10,Mechanical Engineering,Applied Math,Electrical Engineering,MIT,Engineering,Physical Sciences/Math,Engineering,0.26237570372764185
3/8/2026 15:46:35,Id,No,Yes,Yes,3.71,3.86,3.86,6,7,Poli Sci,Poli Sci,Poli Sci,UC Davis,Social Sciences,Social Sciences,Social Sciences,0.31944139215809975
3/8/2026 15:49:03,Didn't apply,Yes,No,No,4.0,4.09,4.09,4,8,NONE,Biology,Biology,UC Davis,Undeclared,Life Sciences,Life Sciences,0.85
3/8/2026 15:53:29,Email,Yes,No,Yes,3.85,4.77,4.15,6,6,Biology,Public Health,Public Health,,Life Sciences,Public Health,Public Health,0.85
3/8/2026 16:07:10,Id,No,No,Yes,4.0,4.4,4.29,9,9,poli sci,poli sci,poli sci,sdsu/uc davis,Social Sciences,Social Sciences,Social Sciences,0.830875215776642
3/8/2026 16:11:17,Email,Didn't apply,No,Yes,3.84,4.12,4.12,8,8,Pol econ (undeclared),DId not apply,Business Econ,UCSC lmao,Social Sciences,Other/Interdisciplinary,Business,0.5741548472238676
3/8/2026 16:20:47,Id,No,No,No,3.98,4.4,4.15,8,8,neuroscience,cognitive science,neuro adjacent (forgot the specifics),note: international student,Life Sciences,Other/Interdisciplinary,Other/Interdisciplinary,0.85
3/8/2026 16:22:57,Didn't apply,Didn't apply,Yes,No,4.0,4.88,4.24,6,6,,,Biology,,,,Life Sciences,0.85
3/8/2026 16:24:29,Email,Yes,No,No,3.74,4.53,3.95,7,9,Data Science,Data Science,Data Science,UC Davis,Computer Science,Computer Science,Computer Science,0.011549397781798273
3/8/2026 16:35:02,Email,Yes,Yes,Yes,3.87,4.13,4.08,7,7,Enviromental Engineering,Structural Engineering,Enviromental Engineering,UC Davis,Engineering,Engineering,Engineering,0.5842572788377528
